name,requirement,description,company
HRBP实习生（文化&培训创意方向）,"1.韧劲儿足，能够将使命感转化为长期坚持的行动和探索；
2.对人敏感，愿意真诚地与人建立连接，持续支持他人成长；
3.内驱力强，具备开放且柔韧的特质，勇于迭代，持续自我进化。
4.较好的沟通表达基础及意愿，具备一定文字功底。
5.保证3个月的实习时间，每周至少4天。","1.负责企业文化的内部传播，参与企业内部公众号的推文撰写。
2.参与策划企业文化活动，并跟进落地执行。
3.协助推动HR内部的知识和经验的沉淀，让HR同学更有体系地快速学习、了解、掌握相关内容。
4.用产品化的视角看待现有的HR赋能体系，协助产品化更多课程内容、学习资源、文化和培训项目。",meituan
美团会员后台产品专家,"1、5年以上互联网产品经理工作经验，有会员体系、用户成长体系或忠诚度计划相关经验者优先。

2、有复杂系统架构设计经验，能够设计高扩展性的产品方案。

3、熟练掌握用户调研方法，能够通过定性、定量分析洞察用户需求。

4、具备优秀的沟通和协作能力，能够高效推动跨部门项目落地。","1、负责美团会员体系的后台系统架构设计，包括分值计算、权益管理、成长任务、营销触达等模块。

2、负责对接各行业进行权益接入，设计前后台产品全链路流程，协作各部门资源推进权益接入，并制定相应的稳定性保障举措

3、结合不同阶段的业务目标，前置洞察对于系统的挑战，制定对应的产品迭代路线

4、关注用户需求，通过用户调研、行为数据分析等方法，挖掘业务机会点，并转化成产品需求落地，帮助业务发展",meituan
补贴策略专家,"1.3年以上互联网商业分析、数据分析、财务分析或咨询公司背景，具备结构化思考能力，有补贴管理/数据运营/供给运营相关经验优先。

2.熟练掌握SQL，熟悉数据分析常用方法，能通过业务分析下钻、诊断业务问题，并能提出观点洞察和改善建议。

3.熟悉互联网公司主要运营环节，熟悉补贴效果评估和商品运营优先。","1.建立补贴效率评估标准，衡量不同补贴策略收益，根据业务目标和举措节奏，建设科学评估体系和运营规则。

2.针对业务问题和中长期命题，开展对用户、商品、价格、营销等内容的洞察和专题分析，持续改善资源使用效率。

3.与财务、商分等协同，推进到餐业务平台补贴、商户补贴、用户补贴及外部合作营销资源的长期规划和短期分配，在既定预算资源下推进业务目标的达成。

4.科学评估增量效果，持续迭代补贴工具，支撑各方向补贴策略自动化能力，提升运营效率。",meituan
项目管理部-资深项目经理,"1. 具有本科以上学历，计算机相关专业优先；
2. 担任五年以上互联网或软件研发项目经理工作，负责过多个中大型软件项目的管理；
3. 具备出色的沟通协调能力、推动力强，有责任心、有服务意识及协作意识，以结果为导向； 
4. 思路清晰、具备较强的逻辑分析能力、语言和书面表达能力。","1. 管理事业部重点项目，明确项目目标，制定核心策略，整合项目管理计划，管控进度，保障项目目标达成；
2. 参与项目管理体系的建设和优化，结合业务部门特点为其组织提供项目管理解决方案或优化建议，包括但不仅限于项目管理体系化流程、规范、模版以及运营策略；
3. 推动项目管理体系在业务组织的落地和运营，跟进体系运营的结果，包括但不仅限于流程体系在组织内的宣导培训、答疑咨询和反馈跟进；
4. 积极沉淀案例库，SOP和方法论，为组织提供项目管理培训，用赋能的方式帮助业务团队提升项目管理的能力。",meituan
食材城市商品运营,"1、本科及以上学历，对于商品生命周期、商品管理有深入理解
2、三年及以上品类规划或零售选品经验
3、出色的内外协调能力及执行力，能够高效完成多角色、跨团队的项目推进","1.制定商品策略，优化商品结构，对接商家选品采购，推动销售业绩达成
2.根据用户视角和商家现状，制定提升商品丰富度策略，满足市场需求
3.制定不同品类的平台定价指导策略、价格调整机制和商品的营促方案
4.与品牌运营和城市业务等部门协作，发展和维护与品牌方及供应商关系",meituan
美团单车运营主管（北京）,"1.大学本科及以上学历，有相关专业背景者优先考虑。
2.至少3年以上车辆运营管理经验，有团队管理经验者优先。
3.熟悉车辆运营管理流程，具备日常车辆调度、维修保养、异常处理等方面的实际操作经验。
4.具备良好的沟通协调能力和团队合作精神，能够有效带领团队完成工作目标。
5.具备较强的问题解决能力和应变能力，能够迅速应对各类突发状况。
6.具备良好的数据分析能力和结果导向的工作态度，能够通过数据分析提升运营效率和质量。","1.负责协调和监督美团骑行在北京市的车辆运营工作，确保运营效率和质量达到公司要求。
2.确保车辆调配与运营计划的有效执行，包括车辆的分配、调度和回收。
3.负责车辆维修与保养的组织安排，确保车辆在良好的工作状态下运营。
4.跟进车辆异常情况，保证运营的顺畅和安全。
5.建立并维护与相关政府部门、合作伙伴的良好合作关系，确保运营工作符合相关法规和政策要求。
6.协助制定和完善车辆运营的相关流程和制度，提高运营效率和管理水平。",meituan
美团联名信用卡用户增长运营岗,"1.大学本科及以上学历，市场营销、计算机科学或相关专业背景优先；
2.至少3年用户运营或流量运营相关工作经验，熟悉互联网行业用户运营工作流程，有熟悉外卖、到店、酒旅、闪购等业务的增长核心玩法经验者优先，有信用卡行业经验者优先；
3.具备数据分析能力，能够熟练运用SQL等工具进行数据分析和挖掘；
4.具备较强的沟通协调能力和团队合作精神，能够有效与各相关团队合作完成工作目标；
5.具备较强的用户洞察力和创新思维，能够深入理解用户需求并提供相应解决方案；
6.具备较强的执行力和抗压能力，能够在快节奏的工作环境下高效完成任务。","1.负责美团联名信用卡增长业务的运营策略制定和执行，为联名卡用户规模和收入增长目标负责。
2.以用户为中心，负责美团联名信用卡用户运营，包括用户分析、用户增长、用户留存等工作。
3.负责与美团主业消费场景合作，理解主业流量逻辑和需求，开拓流量和设计合作方案。
4.与产品、算法、商分、风险等团队合作，推动产品运营的优化和迭代，提升用户体验，助力用户增长。",meituan
产品运营（工具系统方向）,"1.4年以上中后台系统产品运营工作经验，负责过全链路解决方案或核心项目产品方案的设计，包括流程设计及系统能力设计；
2.熟悉OTO、零售、供应链行业领域产品诉求及产品设计，细分领域包括外卖、餐饮、医药、闪购、新零售、酒旅、IOT等；
3.具备较复杂、有一定模糊性的中大型项目完整经验和卓越的沟通协调能力，能够在资源有限的情况下平衡取舍，聚焦核心目标组织跨团队协作；
4.具备主人翁意识和大局观，有积极主动帮助客户成功的意愿和热情，愿意迎接挑战和压力，保持持续学习并好奇的心态。","行业运营需要从全局视角出发完成客服系统从接入层到应用层的策略规划和落地改善，通过一线调研、数据分析等手段主动洞察和发现机会，为美团客服系统及星脉信息管理平台在各业务上的使用效果负责。
1.日常进行数据分析及用户分层场景洞察，制定并执行运营策略，有效识别客服在系统使用中的痛点卡点，与解决方案BP协作达成效率和体验年度目标；
2.负责客服系统配置台运维，利用大模型技术推动配置简化，星脉接入自动化、智能化。与各方产品合作在客服系统应用层建设符合业务个性化发展并可满足长期诉求的组件，长期沉淀可一键复用的行业模板；
3.负责重点项目的管理工作，确保太平洋架构升级项目高质量落地。深度参与各业务的调研、试点、配置、答疑等关键环节，和客服、产研高效沟通，推动产品能力持续完善，支持业务高质量、低成本发展；
4.建立各类流程、机制和指标体系，跨团队协调各方资源，做好宣传推广赋能和总结复盘沉淀，建立更大范围的组织影响力；
5.关注并了解客服系统及相关技术领域的前沿趋势，定期进行行业调研并在团队进行知识分享和推动系统改善。",meituan
美团外卖-小红书达人/素人运营,"1、本科及以上学历，市场营销、广告学、新媒体、传播学等相关专业优先
2、经验要求：至少拥有 2 年以上小红书运营经验，有成功打造小红书账号矩阵或运营知名品牌小红书账号的案例者优先考虑，对小红书平台的规则、算法、热门趋势和用户喜好有极为深入的理解。
3、平台价值认知：能够清晰、全面且深入地阐述小红书对美团外卖的商业价值，具备敏锐的市场洞察力和创新思维，能够快速响应市场变化，制定并灵活调整运营策略。
4、数据分析能力：数据敏感度极高，能够熟练运用小红书专业号后台、第三方数据监测平台等数据分析工具，通过精准的数据分析为运营决策提供有力支持","1、负责美团外卖&神抢手小红书自营账号以及各类矩阵账号的从0到1搭建工作，依据美团外卖的目标品牌&场景定位、目标受众及细分业务指标需求，精准制定各账号的定位、内容规划与独特风格设定，确保所有账号调性与美团外卖品牌及细分场景高度契合，形成协同效应。
2、深度剖析小红书平台对美团外卖在品牌推广、用户留存、促活提频及细分场景等方面的独特价值，通过多维度数据分析以及对用户行为和需求的深度洞察，制定全面且切实可行的运营策略，有效提升美团外卖在小红书平台的品牌曝光度、用户关注度以及业务转化率。
3、策略玩法运用与活动策划：深度掌握小红书的热门策略玩法，如话题营销、达人合作玩法、直播带货技巧等，策划并高效执行一系列富有创意和吸引力的内容营销活动
4、内容创作与发布：定期通过自营账号的策划、撰写、编辑发布高质量的小红书笔记和视频内容，包括但不限于精彩的文案创作、专业的图片拍摄与处理、精美的视频剪辑等，确保内容具备强大的吸引力、传播力和话题性，以满足不同账号定位和用户群体的喜好
5、数据监测与策略优化：持续监测和深入分析各账号的运营数据，如前端数据：粉丝增长趋势、阅读量、互动率、转化率等，后端数据：实验下的归因DAU订单及留存频次等数据，并通过数据效果精准地调整和优化运营策略，不断提升运营效果和投入产出比。",meituan
资产交付团队负责人,"1、本科以上学历，5年以上业务运营管理和3年以上团队管理经验；
2、完整负责过主流程产品，掌握产品涉及的经典方法论，并在过往经历中有深度应用案例；
3、具有主人翁精神，能够坚持做难而正确的事，面对复杂问题有积极求索的态度，能够主动补位解决问题并达成目标；
4、能够通过实际行动达成结果，通过策略拆解与推演判断最优行动路径，不空想，能在有限的条件下快速行动及试错，追求有限周期内的最大化收益；
5、有一定的数据分析能力，可以使用SQL进行基础的数据提取；","1、交付策略管理：持续更新资产交付策略，并推动策略落地，包括不限于建设和迭代资产交付全链路流程及SOP，并通过产品工具实现流程线上化、进度可视化、数据结构化；
2、交付过程管理：制定新老城资产交付的筹建计划，并按照计划进行过程管理，包括不限于进度管理、风险管控、变更管理、调拨费用管理、投放监控等；
3、交付支持管理：主动发现并总结交付中的问题点，并协助城市推动问题解决，事后做相关的流程或者SOP迭代；
4、交付团队管理：交付组团队选育用留汰的管理，以拿结果为导向，保障团队高质量交付协同；",meituan
神券产品运营专家,"1.3年以上工作经验，有交易类平台业务B/C的产品运营、策略运营经验优先；有项目0到1探索经验者优先。

2.有会员、省钱月卡等用户运营/产品运营经验优先。

3.具备优秀的数据获取/分析能力和业务洞察力，能够基于分析结果及行业特征，提出针对性的产品运营方案，有商分、咨询背景加分。

4.良好的项目管理能力、自我驱动能力、沟通协调能力、具备一定商业敏感度。","1.负责神券省钱包售卖矩阵矩阵和渠道建设，通过线上/线下等各渠道挖掘省钱包售卖的合适场景，与各业务协同落地运营方案，为省钱包售卖量负责。

2.负责神券玩法能力建设，协同业务及产品重构补贴体系、优化招商流程，并制定产品运营及推广策略，协同各方吸引更多优质商家参与，为撬动更多优质商家补贴、提升平台和行业经营收益负责。

3.负责优惠券/红包促销体系的跨行业/跨业务能力建设和渠道建设，通过线上/线下等各渠道挖掘促交易、提客单的合适场景，与各业务协同落地运营方案，为跨业务流量/订单规模负责。",meituan
营销供给运营专家,"1.5年以上工作经验(条件优秀可适当放宽)，有供给运营/营销产品运营经验优先;有项目0到1探索经验者优先。
2.具备优秀的数据获取/分析能力和业务洞察力
3.良好的项目管理能力、产品sense,自我驱动能力、沟通协调能力、具备一定商业敏感度。","1.负责到店餐饮营销招商能力建设，协同业务及产品重构招商体系、优化招商流程，提升销售效率，提升到餐打爆品能力
2.站在到餐品类视角，挖掘各类增长机会，通过建立与营销场的合作机制，整合营销资源，持续找到业绩增长的机会点，并试点推广
3.持续优化货补规则，提升资源使用效率",meituan
电销BD经理,"【岗位要求】：
1、大专学历及以上，为人正直，3年以上工作经验，1年以上电销或者直销管理经验，有行业经验优先；
2、沟通能力强，执行力强，目标感强，渴望拿高绩效高收入；","1、负责电销团队招募并培养新员工，了解美团平台规范，对团队业绩负责；
2、带领团队新签，通过电话+企微的方法，引导想要入驻美团的门店老板，成功完成上线流程；
3、带领团队运营，通过群运营的方法，赋能新入驻门店老板营销，完成合作首月的销售额考核。",meituan
搜索产品运营专家-上海,"1.大学本科及以上学历，3年以上搜索产品运营或用户运营经验，有成功案例。
2.熟悉搜索或广告投放等产品运营手段，具备强C端需求感知能力和数据分析能力。
3.良好的团队协作和问题解决能力，能与不同部门团队合作，解决工作中各种挑战，推动项目顺利进行。","1.负责搜索产品的运营策略制定和执行，通过数据分析和用户调研，提高搜索产品的用户体验和用户留存率。
2.负责搜索产品的推广和营销活动，提高搜索产品的曝光度和用户获取量。
3.跟踪行业动态和搜索产运策略，跨团队协同资源及时调整优化，确保项目进度和质量，保持市场竞争力。",meituan
搜索策略产品,"1.本科及以上学历，3年以上搜索/推荐相关工作经验，对搜索排序/推荐模型有深入理解； 

2.结果导向，对数据敏感；熟练使用sql来进行数据探查； 

3.有很强的协调能力，学习能力佳，能够作为主 r 自驱的和协同方共建搜索能力；

 4.主动性强，能够基于海量的数据和Query探查中发现搜索的优化方向。","1.以业务目标和用户搜索体验为驱动，探索不同搜索意图下用户需求澄清和分发的最优解决方案

2.深入理解Query背后的所对应的用户需求并应用合理的策略满足所需； 

3.基于美团搜索的特殊性制定不同业务的合理的评估机制，达成搜索体验和效率最优；

 4.与各业务方、技术、产品等团队进行配合，共同提升美团搜索用户体验。",meituan
神会员-补贴策略用户运营,"1.有3年以上线上大型交易性平台用户运营经验，熟悉O2O行业
2.逻辑清晰条理，数据敏感、分析能力强、精通SQL，能从用户需求中洞察机会，具备从数据中找到关键和突破点推动相关建设和优化的能力
3.拥有强烈的责任心和团队合作精神、优秀的协调沟通能力，能够快速学习掌握业务变化，擅长跨团队协作具备以下者优先：","1.负责美团平台C端补贴策略，通过神会员补贴策略体系服务吃喝玩乐场景下用户的增长、转化、交易，为补贴的规模、效率、心智等指标负责；
2. 与神会员相关的业务团队协同，通过补贴、营销、招商、流量、内容等各种手段，为各个业务的经营目标负责；
3.结合不同消费场景，深度挖掘用户吃喝玩乐需求，探索用户在不同时空场景下的补贴增长策略，并推动策略落地；
4.能合理衡量不同补贴策略的成本收益、ROI、LTV等，并结合多经营目标差异进行有效的补贴资源申请、补贴资源规划，提高整体资源的使用效率；
5.与财商运等协同，制定合理的预算和目标体系，在既定预算资源下推进业务目标的达成；
6.与产研团队协同，推动运营产品和运营工具的迭代。",meituan
医疗行业运营,"1、本科及以上学历，5年及以上商家运营、商品运营或品类运营的经验；
2、掌握行业分析方法论，了解行业特征及上中下游产业链，跟踪行业发展趋势，制定行业供给策略；
3、有比较好的用户理解、善于捕捉市场动态和变化，能够洞察用户和商户需求，形成长期有效的策略；
4、熟悉商家激励、教育方法，基于商家分层通过系统化、产品化手段驱动行业大盘商户提升标准供给覆盖；
5、有强烈的目标导向，能结合行业特点对目标进行策略化拆解并落地；
6、有较强的责任心，学习能力、推动力、沟通能力强，有推进项目端到端落地拿结果的能力。","1、负责消费医疗行业细分品类的运营，需要制定品类中长期发展的运营策略，为用户和品类交易增长负责；
2、从用户视角出发，深入用户决策、交易、履约环节，定位用户关键交易决策因子和痛点并制定解决方案，提升交易转化效率；
3、研究行业供给结构，包括但不限于类目、商家、货架，梳理其与交易的因果关系链，并持续优化供给结构和交易转化链路；
4、了解行业特征及上中下游产业链，关注行业前沿发展和市场变化，定期分析竞争对手情况，寻找市场机会点；
5、与产品、业务团队深度协作，对策略有效落地，进行日常指标监控，通过指标发现问题和机会，并制定相关解决方案。",meituan
美团外卖-流量策略运营,"1、有2年以上竞价广告投放经验，熟悉广告竞价投放模式，操盘过电商、信息流等投流策略优先考虑；
2、熟练使用SQL进行数据获取和分析，可独自完成分析报告，能运用常用的可视化工具进行分析；
3、有清晰的广告投放分析思路，对投放数据有较强的分析能力，对主流投放平台模式有了解；
4、对数据敏感，能理清各项数据之间的关系，能敏锐感知数据的变化。","1、负责外卖业务在团平台的流量投放策略，明确年度所需预算、制定流量投放计划、控制推广预算与成本，提升转化率，降低转化成本；
2、与内部团队进行有效沟通，确保广告投放顺利进行，同时根据业务诉求、用户需求场景、用户分层等进一步优化投放策略，提升投放效率；
3、实时监控分析广告投放效果，关注其他业务投放策略，结合数据对账户进行调整、优化推广方案，促使投放效果最大化；
4、结合用户链路、业务需求洞察机会点，为外卖拓展更多流量入口。",meituan
营销活动专家,"1.本科及以上学历，市场营销、广告学等相关专业优先;
2.有较强的策略能力及良好的沟通和理解能力，有大型互联网公司行业经验，至少5年整合营销、用户运营经验者等优先;
3.有复杂项目管理能力，具有丰富活动策划经验、项目管理经验，对流量运营有经验，有大型整合营销活动项目落地经验更优
4.有较强的数据分析及敏锐的市场洞察能力，具备创新意识，能够结合热点探索营销新模式。","1.负责外卖平台应季整合营销活动，能基于应季场景的用户需求洞察和业务数据分析，输出符合业务需求的营销策略，推进营销项目落地并沉淀营销方法论；
2.挖掘外卖业务增长机会点，高效协同各业务，快速了解业务需求，并持续关注行业动态，及时输出驱动业务增长的策略，并推动业务侧配合;
3.基于目标打造差异化的招商策略，有较强的供给认知和数据分析能力，同时具备较强谈判策略和沟通能力，保证活动供给的质与量，从而带动大盘增长;
4.在复杂的整合营销活动中，胜任项目经理的责任，对营销策划与资源整合工作负责，包括但不限于目标设定，需求收集、整体节奏、方案策划、资源整合、营销玩法和传播点设计等;
5.整合美团内外部资源，能跨部门协作，并沉淀合作机制及SOP。",meituan
神会员数据产品经理,"1、有3年及以上数据产品工作的经验，数据工作方法论有一定沉淀并可以输出，L6-L8均支持
2、有成熟的业务数据BP经验，对于数据生产加工、流量埋点、业务指标拆解、用户画像、实验效果评估、数据异动诊断、AI大模型分析提效等场景有成功实战经验者优先
3、完整的数据分析能力，具备较强的逻辑思维能力、主动挖掘机会的意识和落地执行能力
4、跨团队协同能力强，主人翁意识，复杂事情简单化，复杂局面清晰化
5、攒项目的规划能力、目标定量拆解能力、以及对AI大模型的理解是加分项","1、负责神会员数据产品的整体规划和设计，包括数据接入、指标可视化、分析提效、数据治理等环节。
2、研究用户行为数据，进行数据挖掘和分析，提供有效的数据决策支持。
3、跟踪行业动态和竞争对手，分析市场需求，制定数据产品的发展战略和产品路线图。
4、与技术团队紧密合作，推动数据产品的开发和优化，确保产品的高质量和稳定性。
5、负责数据产品的上线和发布，监控产品的运营情况，并及时进行数据分析和反馈。
6、不断优化数据产品的用户体验，提高产品的用户留存率和活跃度。",meituan
神会员-营销产品专家（平台能力方向）,"1、有3年以上互联网中后台产品工作经验，有营销中台工作经验优先；
2、有一定系统架构设计经验，有对逻辑复杂的问题进行拆解、归纳、抽象、解耦的能力；
3、强目标导向，具备跨团队复杂项目的全生命周期管理能力，能抓住核心矛盾，对目标和需求进行拆解，制定Roadmap并推动落地；
4、能对行业头部产品进行长期跟踪，针对特定目标输出分析报告和对标方案；
5、韧性强，能抗压，具备团队合作精神，对工作有热情，具备良好的沟通、表达、观察能力，能够积极推动研究成果落地","1、负责神会员核心模块中后台能力的规划和建设，包括神券、神券包、膨胀等，对系统灵活性、安全性和配置效率负责。
2、负责协同神会员BC端产运，补齐神会员覆盖的场景，做到神券在全业务、全渠道、全场域、全链路可发、可买、可膨、可用。
3、负责协同行业产运，高效支撑行业需求，提高神会员的用户规模和神券订单渗透。
4、负责神券工具能力创新，主动挖掘提升神券渗透和业务增长的新机会点",meituan
神会员-营销产品专家（B端招商方向）,"1、有5年以上互联网产品工作经验，有一定用户增长方法论积累，
2、有复杂系统架构设计能力，有营销、招商、供应链等系统设计经验者优先；
3、强目标导向，具备跨团队复杂项目的全生命周期管理能力，能抓住核心矛盾，对目标和需求进行拆解，制定roadmap并推动落地。
4、能对行业头部产品进行长期跟踪，针对特定目标输出分析报告和对标方案；
5、韧性强，能抗压，具备团队合作精神，对工作有热情，具备良好的沟通、表达、观察能力，能够积极推动研究成果落地；","1、作为美团神会员业务的核心成员，以美团整体的用户增长和核心业务增长为最终目标，进行B端供给侧的目标拆解、能力规划、路径设计、方案输出并推动快速落地；
2、负责神会员统一招商、选品平台能力建设，通过深入一线，不断提升产品能力的完备性、灵活性、安全性，满足各业务的差异化诉求。
3、负责正向权益激励和反向违规治理工具建设，协同运营建立奖惩机制，提高商家体验、商家经营效果、供给质量，营造良性竞争生态
4、负责从商家、BD视角优化数据展示和提报链路，提升供给提报和管理效率",meituan
闪购HRBP,"1、5年以上HR工作经验，掌握相关的人力资源知识技能及常用工具；
2、具有优秀的组织协调能力与计划管理能力；具备很强的人际链接能力，能够跨部门推动工作。
3、自驱力强、好奇好学、抗压性强；
4、人力资源、心理学、管理学等本科及以上学历。","1、理解业务战略,深入了解业务及运作方式，参与业务战略生成到落地全过程，制定人力资源计划，帮助业务建设组织能力，促进长短期目标的达成。
2、搭建组织，协助业务负责人一起搭建清晰的组织架构，促进管理团队目标共识；定期进行组织诊断，及时发现组织中的关键矛盾及问题并及时跟进解决。
3、促进人才，通过人才盘点、人才发展等方法，关注关键人才的招聘、培养、发展和提升，为业务部门提供强有力的人员供给及梯队搭建支持。
4、负责组织氛围建设，定期组织员工关怀活动，传递公司/CLC核心理念、导向，提升员工凝聚力和团队战斗力。",meituan
医药-B2C-商家运营,"1. 本科或以上学历，工作履历和经验能力匹配度突出者可适度放宽；
2. 3年及以上快消行业电商平台商家运营经验，具有药品电商工作经验者优先；
3. 对数据敏感度高，具备精细化商品分析经验，且学习能力、独立思考能力强；
4. 乐于沟通，语言表达和感染说服能力突出，可应对复杂情形的商业谈判、组织协调；
5. 积极乐观，充满正能量，认同美团价值观并努力践行。","1.商家管理，负责B2C业务中的商家运营管理，建立富有竞争力的商家结构，协调美团及商家内部资源，充分赋能商家，激发商家愿意在平台长期成长；协同相关部门建立商家管理机制和业务规则，输出标准化规章制度和运营流程，每日监控交易数据、营销效果、服务质量等，根据数据的变化及时提出改进措施，并有能力改进整体系统，提高整体业务的运行效率；
2.商品管理，分析美团APP的用户特性及消费习惯，协同相关部门规划B2C模式下的医药健康相关子品类的商家、品牌、商品结构，协调供给侧，满足市场需求；
3.流量/活动管理，深度挖掘商品场景特征，挖掘新品，结合品牌策略、营销活动，制定品类策略、价格计划和落地节奏，使商品结构与市场需求相匹配，打造爆品、组织商品运营活动，提升商品销量贡献；
4.行业共建，结合市场和行业信息，与行业商家共同建立健康有序的合作关系，通过输出标准化规章制度和运营流程，提高整体业务的运行效率，提高消费者满意度，降低行业经营风险，共同维护良好的市场秩序。",meituan
神会员策略产品经理,"1、有3年以上互联网产品工作经验，有一定用户增长方法论积累；
2、有复杂系统架构设计能力，有营销、招商、交易等系统设计经验者优先；
3、有娴熟的数据分析能力，掌握基本的数据处理、分析方法；
强目标导向，具备跨团队复杂项目的全生命周期管理能力，能抓住核心矛盾；
4、能对目标和需求进行拆解，制定roadmap并推动落地；
5、韧性强，能抗压，具备团队合作精神，对工作有热情，具备良好的沟通、表达、观察能力，能够积极推动研究成果落地。","1、负责神会员券补体系的策略平台能力建设，让运营【能操盘】；
2、负责通过策略算法、画像规则等产品能力支撑不同目标导向的操盘策略，负责美团神会员的多券包售卖、神券领取和分发，以及多渠道补贴协同；从用户补贴效率的角度，建立多渠道补贴协同能力，提升整体补贴效果；通过用户聚类分析，提出针对性的激励措施，提高各类用户的价值贡献；并具备灵活切换目标的能力，让运营【操好盘】；
3、负责操盘前的仿真预估、操盘中的实时监控，操盘后的效果分析，让运营【能预测、能监控、能衡量、能调优】。",meituan
薪酬核算-海外专家,"1. 3年以上海外薪酬核算或管理相关工作经验，负责或参与过多个国家和地区薪酬运营流程0-1的建设。
2. 了解不同国家的劳动法，熟悉薪资支付、法定扣除、个税和其他社会保障等相关规定。
3. 具备与国际薪酬服务供应商合作和管理供应商关系的经验。
4. 英文可以流畅沟通。","1. 负责管理和运营多个国家端到端薪酬核算和个税申报工作。
2. 与外部薪酬服务提供商、当地薪酬团队和其他上下游团队保持顺畅的沟通和合作，确保高效和准确的交付。
3. 做为团队内海外薪酬、法定福利和个税的专家角色，为出海业务提供适配当地实践和法律法规的发薪方案和流程，并不断优化迭代。",meituan
海外薪酬政策,"（1）喜欢思考，开放心态。愿意探索问题的底层逻辑，能够接受并处理模糊复杂的问题；
（2）有良好的沟通协作能力和项目管理能力，能够与各类人群有效沟通和合作；
（3）有3年及以上的薪酬相关工作经验；
（4）会使用基础的数据分析工具，对数据敏感，细致谨慎。","（1）参与海外薪酬激励机制和政策的设计和制定，包括但不限于：海外各国的薪酬福利政策、特定岗位的奖金规则和激励政策等；
（2）分析海外市场薪酬数据，进行薪酬调研和分析，为业务提供具有竞争力的薪酬方案；
（3）负责对接业务的年度薪酬回顾、年度激励、人力成本预算等项目的落地实施。",meituan
到餐-前端专家（AI Agent 方向）,"1. 曾直接与内部客户合作，深入了解客户需求，并熟练使用他们使用的工具。
2. 在减轻风险和构建可靠、可扩展和高性能系统方面有良好的判断力。
3. 出色的沟通技巧，能够有效解释你决策背后的“为什么”。
4. 对生成式 AI 概念有扎实的理解，并有使用 LangChain 等框架的经验。
5. 精通安全生产领域的产品设计、解决方案和最佳实践，能够完成高可用、高并发、高性能的系统架构设计和实现，并具备良好的扩展性","智能化方向：
1. 负责美团到店餐饮业务商家及销售方向，结合已有系统能力，完成在销售过程管理方向的 Agent 探索与应用。
2. 设计、实现和维护先进的生成式 AI 模型，结合检索增强（RAG）、Cognitive Architecture、Agentic Workflow 等前沿技术提升 B 端的作业效率与效果
3.与业务及产运团队紧密合作，确保 AI 技术无缝集成到商家及销售智能化产品和服务中，符合整体业务目标并提供卓越的用户体验。
4. 解决在多模态模型、多 agent 场景下的可扩展性问题，创造一流的工程体验。
5. 构建可扩展的基础设施，平衡智能化场景的成本、效果及性能。管理智能化方向平台化基建，通过创建与 LLM 的无缝接口简化 AI 功能开发，支持上层场景应用。
6. 创建并运营内部和第三方工具的生态系统，以便快速测试和评估 LLM 效果。集成和利用 LangChain 进行高级语言理解和处理，促进生成模型与自然语言处理任务的深度集成。

到餐信息和质量方向：
1. 负责团队标准化规范制定和安全生产能力建设，完善发布前、发布中、发布后的质量保障手段，降低线上问题数量，提升问题发现、定位、处理效果，建设安全生产生态
2. 负责到餐信息方向的前端架构设计与推进落地，完成业务支持，改进系统架构、产品体验和流程运作，通过技术助力业务发展。",meituan
骑行电单车财务BP,"1.本科及以上学历，财务相关专业，5年以上工作经验。
2.工作细致、严谨，具备独立思考和判断能力。
3.具有较强的人际沟通和协调能力、计划与执行能力。
4.具有高度责任责任感和较强的团队合作意识。
5.对数字敏感，强逻辑思维能力，熟练使用常用办公软件。","1.深入了解业务, 有全链路思维，与业务伙伴密切合作，根据业务发展需求，识别财务解决方案优化点，为业务增长及效率提升提供有力支持；
2. 评估资产规划的逻辑和方案，跟踪指标的变动和影响，对资产配置落地进行闭环管理，针对流程中存在的潜在风险给出解决方案，并联动各业务模块，协同各部门，根据业务发展需求迭代持续优化；
3.对业务方案进行风险评估，建立定期的业务和财务数据跟踪体系，对重点业务和项目进行随时跟进，定期反馈；
4.编制对应业务的财务预测及年度预算，并协助业务进行预算管理，监督和评估业务的达成情况。",meituan
风险决策分析专家,"1.了解信贷资产风控的基本逻辑，熟悉信贷资产品质评估的指标体系；
2.较强的逻辑分析能力和深入思考能力，能够针对问题迅速拆解，并根据分析结果形成具有指导意义的观点和结论，推动业务及策略落地形成闭环；
3.能够根据监控数据趋势提出前瞻性的风险预警，或敏锐的发现潜在发展机会点；
4.信贷行业风控或商分3年以上工作经验，深度参与过信贷产品的资产品质分析和决策工作。","1.业务风险目标制定：深度参与支持年度及半年度各业务线风险目标制定，并协同各业务线风险、业务等部门进行月度达成率的检视；
2.业务风险分析检视：深入分析各信贷业务的经营及风险现状，定期进行业务及盘面组合结构盘点， 给出阶段性风险策略经营建议，并推动业务及策略落地；3.风险及损益预测：完成信贷业务的风险健康度监测评估，进行资产风险损失率及收益率的预测和评价；
4.报表体系搭建：搭建完善的资产品质监控指标和报表体系，定期维护报表数据以及对外输出报表解读。",meituan
